id,own,competing1,competing3,borrowertype,accepted,default,profit
556,.2191,,.098743618,2,0,0,
557,.042599998,.45609066,.027624784,2,1,0,425.99997
558,.1628,,.42854705,1,1,0,1628
559,.35089999,,.4784708,1,1,0,3509
560,.1046,,.11975848,1,1,0,1046
561,,,.33241445,3,0,0,
562,.2035,,,1,1,0,2035
563,.22589999,,.19248661,1,0,0,
564,.045200001,.47604176,.21298231,2,1,0,452
565,.30520001,1,.72893244,1,1,0,3052
566,.038800001,.1821,.0034983754,3,0,0,
567,.25999999,,.71776593,2,1,0,2600
568,.081200004,,.76170981,3,1,0,812.00006
569,.32409999,,.05238051,1,0,0,
570,.046300001,.81760001,.034066807,3,0,0,
571,.31740001,,,3,1,0,3174
572,.1115,,,1,1,0,1115
573,.1152,.84490001,.098496191,2,1,1,-10000
574,.2493,1,,1,1,1,-10000
575,.041700002,,.27025223,2,1,0,417.00003
576,.26539999,.95444584,.11368182,3,0,0,
577,.20370001,,.1308016,3,0,0,
578,.13060001,.8592,.11224853,3,0,0,
579,.1064,.7885083,.067248307,1,0,0,
580,.17219999,.7532866,,1,1,1,-10000
581,.031199999,.0037,.036823347,1,0,0,
582,.2766,1,.37949875,1,1,1,-10000
583,.0317,.094800003,.1205498,3,1,0,317
584,.2255,.95281458,.039203044,1,0,0,
585,.092200004,,.034352783,3,0,0,
586,.1202,1,.14590909,2,1,0,1202
587,.2462,,,1,1,0,2462
588,.0348,.39947882,.12627889,2,1,0,348
589,.1075,,.19238611,1,1,0,1075
590,.1079,,.2426378,3,1,1,-10000
591,.046399999,.49525717,.35250592,2,1,0,464
592,.0416,.45532635,.048185945,1,1,0,416
593,.1596,1,.21916226,1,1,0,1596
594,.031199999,.02,.0015879278,2,0,0,
595,.31869999,1,.12222977,2,0,0,
596,.30360001,.96730447,.12006264,2,0,0,
597,.042199999,.025628643,.13222626,1,0,0,
598,.125,1,,1,1,0,1250
599,.2094,.97007072,.12763336,3,0,0,
600,.19949999,,,1,1,0,1995
601,.040600002,.4931877,.11690099,3,1,0,406.00003
602,,1,.97462124,3,0,0,
603,.041900001,.58340001,.053352099,3,0,0,
604,.347,,,2,1,0,3470
